"filename", "language", "C++", "HTML", "YAML", "JSON", "Dart", "Swift", "Markdown", "XML", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 7, 17
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\analysis_options.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 5, 13, 75
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\android\app\google-services.json", "JSON", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 82
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 1, 9
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 6, 1, 35
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\android\app\src\main\res\drawable-v21\bg_color.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 2, 2, 13
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\android\app\src\main\res\drawable\bg_color.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 2, 2, 13
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\android\app\src\main\res\values\color.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
